Date_Time,squeeze,predict_squeeze
2019-01-23 10:30:00,1,0
2019-01-23 10:45:00,1,0
2019-01-23 11:00:00,1,1
2019-01-23 11:15:00,1,0
2019-01-23 11:30:00,0,0
2019-01-23 11:45:00,0,0
2019-01-23 12:00:00,1,1
2019-01-23 12:15:00,1,1
2019-01-23 12:30:00,1,1
2019-01-23 12:45:00,1,1
2019-01-23 13:00:00,1,1
2019-01-23 13:15:00,1,1
2019-01-23 13:30:00,0,1
2019-01-23 13:45:00,0,1
2019-01-23 14:00:00,0,0
2019-01-23 14:15:00,1,1
2019-01-23 14:30:00,1,1
2019-01-23 14:45:00,1,0
2019-01-23 15:00:00,1,0
2019-01-24 08:45:00,1,0
2019-01-24 09:00:00,1,0
2019-01-24 09:15:00,1,0
2019-01-24 09:30:00,1,0
2019-01-24 09:45:00,1,0
2019-01-24 10:00:00,1,1
2019-01-24 10:15:00,1,1
2019-01-24 10:30:00,1,0
2019-01-24 10:45:00,1,1
2019-01-24 11:00:00,1,0
2019-01-24 11:15:00,1,0
2019-01-24 11:30:00,1,1
2019-01-24 11:45:00,1,1
2019-01-24 12:00:00,1,1
2019-01-24 12:15:00,1,1
2019-01-24 12:30:00,1,1
2019-01-24 12:45:00,1,1
2019-01-24 13:00:00,1,1
2019-01-24 13:15:00,1,1
2019-01-24 13:30:00,1,1
2019-01-24 13:45:00,1,1
2019-01-24 14:00:00,1,1
2019-01-24 14:15:00,1,1
2019-01-24 14:30:00,1,1
2019-01-24 14:45:00,1,1
2019-01-24 15:00:00,1,0
2019-01-25 08:45:00,1,0
2019-01-25 09:00:00,0,0
2019-01-25 09:15:00,0,0
2019-01-25 09:30:00,0,1
2019-01-25 09:45:00,0,0
2019-01-25 10:00:00,0,0
2019-01-25 10:15:00,0,1
2019-01-25 10:30:00,0,1
2019-01-25 10:45:00,0,0
2019-01-25 11:00:00,0,1
2019-01-25 11:15:00,0,1
2019-01-25 11:30:00,0,1
2019-01-25 11:45:00,0,0
2019-01-25 12:00:00,0,0
2019-01-25 12:15:00,0,0
2019-01-25 12:30:00,0,1
2019-01-25 12:45:00,0,1
2019-01-25 13:00:00,0,1
2019-01-25 13:15:00,0,1
2019-01-25 13:30:00,1,1
2019-01-25 13:45:00,1,1
2019-01-25 14:00:00,1,1
2019-01-25 14:15:00,1,1
2019-01-25 14:30:00,1,1
2019-01-25 14:45:00,1,1
2019-01-25 15:00:00,1,1
2019-01-28 08:45:00,1,1
2019-01-28 09:00:00,0,1
2019-01-28 09:15:00,0,1
2019-01-28 09:30:00,0,1
2019-01-28 09:45:00,0,1
2019-01-28 10:00:00,0,1
2019-01-28 10:15:00,0,1
2019-01-28 10:30:00,0,1
2019-01-28 10:45:00,0,1
2019-01-28 11:00:00,0,1
2019-01-28 11:15:00,0,1
2019-01-28 11:30:00,1,1
2019-01-28 11:45:00,1,1
2019-01-28 12:00:00,1,1
2019-01-28 12:15:00,1,1
2019-01-28 12:30:00,1,1
2019-01-28 12:45:00,1,1
2019-01-28 13:00:00,1,1
2019-01-28 13:15:00,1,1
2019-01-28 13:30:00,1,1
2019-01-28 13:45:00,1,1
2019-01-28 14:00:00,1,1
2019-01-28 14:15:00,1,1
2019-01-28 14:30:00,0,1
2019-01-28 14:45:00,0,1
2019-01-28 15:00:00,0,1
2019-01-29 08:45:00,0,1
2019-01-29 09:00:00,0,1
2019-01-29 09:15:00,0,1
2019-01-29 09:30:00,0,1
2019-01-29 09:45:00,0,1
2019-01-29 10:00:00,0,1
2019-01-29 10:15:00,0,1
2019-01-29 10:30:00,0,1
2019-01-29 10:45:00,0,1
2019-01-29 11:00:00,0,1
2019-01-29 11:15:00,0,1
2019-01-29 11:30:00,0,1
2019-01-29 11:45:00,0,1
2019-01-29 12:00:00,0,1
2019-01-29 12:15:00,1,1
2019-01-29 12:30:00,1,1
2019-01-29 12:45:00,1,1
2019-01-29 13:00:00,1,1
2019-01-29 13:15:00,1,1
2019-01-29 13:30:00,1,1
2019-01-29 13:45:00,1,1
2019-01-29 14:00:00,1,1
2019-01-29 14:15:00,1,1
2019-01-29 14:30:00,1,1
2019-01-29 14:45:00,1,1
2019-01-29 15:00:00,1,1
2019-01-30 08:45:00,1,1
2019-01-30 09:00:00,1,1
