time,close,kcup,kclo,bollinger_band_upper,bollinger_band_lower,EMA9,EMA21
2020-01-02 14:15:00-05:00,140.73,140.42735629437564,139.96914370562436,141.0392849201086,139.3572150798914,140.73,140.73
2020-01-02 14:30:00-05:00,140.87,140.4828177975872,140.03368220241282,141.11173372783796,139.40476627216205,140.758,140.74272727272725
2020-01-02 14:45:00-05:00,140.98,140.54428345160397,140.103216548396,141.1881504615308,139.45934953846918,140.8024,140.76429752066113
2020-01-02 15:00:00-05:00,140.87,140.5968535072506,140.17364649274938,141.21931092797757,139.5511890720224,140.81592,140.77390683696467
2020-01-02 15:15:00-05:00,140.82,140.65898283786618,140.25351716213385,141.1702961064281,139.7422038935719,140.816736,140.77809712451332
2020-01-02 15:30:00-05:00,140.84,140.71841173404755,140.32458826595246,141.10824032631666,139.93475967368335,140.8213888,140.78372465864848
2020-01-02 15:45:00-05:00,141.06,140.78160323407135,140.37539676592863,141.1401620073729,140.01683799262707,140.86911104,140.80884059877133
2020-01-03 09:30:00-05:00,138.055,140.97871714944145,139.97778285055855,141.72612514135866,139.23037485864134,140.306288832,140.55849145342847
2020-01-03 09:45:00-05:00,138.21,140.8708650438147,139.89313495618532,141.98715747710798,138.77684252289203,139.8870310656,140.34499223038952
2020-01-03 10:00:00-05:00,138.015,140.76882671424156,139.76967328575844,142.1927563241246,138.3457436758754,139.51262485248003,140.13317475489956
2020-01-03 10:15:00-05:00,138.21,140.64394550117348,139.6665544988265,142.2830743769041,138.0274256230959,139.25209988198404,139.95834068627232
2020-01-03 10:30:00-05:00,138.395,140.51587198301863,139.58312801698142,142.30922727744326,137.7897727225568,139.08067990558723,139.8162188057021
2020-01-03 10:45:00-05:00,138.345,140.38980720507377,139.48269279492624,142.30223232631207,137.57026767368794,138.9335439244698,139.68247164154735
2020-01-03 11:00:00-05:00,138.4,140.2627852333603,139.3767147666397,142.24975860947146,137.38974139052854,138.82683513957585,139.56588331049758
2020-01-03 11:15:00-05:00,138.455,140.13887430658215,139.28612569341786,142.18645592012814,137.23854407987187,138.75246811166068,139.46489391863417
2020-01-03 11:30:00-05:00,138.77,140.05072266203067,139.2152773379693,142.12149225118557,137.1445077488144,138.75597448932854,139.4017217442129
2020-01-03 11:45:00-05:00,138.7,139.94373902808434,139.15426097191568,142.04473024858146,137.05326975141855,138.74477959146284,139.33792885837534
2020-01-03 12:00:00-05:00,138.84,139.86493884747858,139.08156115252143,141.95791724447957,136.98858275552044,138.7638236731703,139.29266259852304
2020-01-03 12:15:00-05:00,138.97,139.77799972786582,139.03000027213417,141.86225483668912,136.94574516331087,138.80505893853623,139.26332963502094
2020-01-03 12:30:00-05:00,139.02,139.68511126653559,138.97038873346438,141.73097694243432,136.92452305756564,138.848047150829,139.24120875910992
2020-01-03 12:45:00-05:00,139.17,139.59407541714774,138.90542458285228,141.56084560484572,136.9386543951543,138.9124377206632,139.23473523555447
2020-01-03 13:00:00-05:00,139.07,139.48943990202824,138.8300600979717,141.3417637367507,136.97773626324926,138.94395017653056,139.2197593050495
2020-01-03 13:15:00-05:00,139.08,139.37758300605844,138.75191699394156,141.0714846479714,137.0580153520286,138.97116014122446,139.20705391368136
2020-01-03 13:30:00-05:00,138.8,139.30526800818757,138.61723199181245,140.78074060251274,137.14175939748728,138.93692811297956,139.1700490124376
2020-01-03 13:45:00-05:00,138.765,139.18880747829547,138.5281925217045,140.45438319055478,137.2626168094452,138.90254249038367,139.13322637494326
2020-01-03 14:00:00-05:00,138.63,139.07048546640837,138.4255145335916,140.04408073172877,137.4519192682712,138.84803399230694,139.0874785226757
2020-01-03 14:15:00-05:00,138.56,138.9408573677034,138.3051426322966,139.32737280798764,137.91862719201234,138.79042719384557,139.03952592970518
2020-01-03 14:30:00-05:00,138.755,138.96715101867758,138.3488489813224,139.31124614527494,138.00475385472504,138.78334175507646,139.01365993609562
2020-01-03 14:45:00-05:00,138.735,138.97835675097267,138.39014324902732,139.30297768434036,138.06552231565962,138.77367340406119,138.9883272146324
2020-01-03 15:00:00-05:00,138.67,139.0034522554623,138.43054774453773,139.24996983226634,138.18403016773368,138.75293872324895,138.95938837693853
